TaDiRAH Kategorie,machine label (from readme on github),label EN (from tadirah.dariah.eu/vocab),label EN (course registry),QID,tema number,related research activity (tema number),Mapping DH Zotero,Mapping Custom Zotero,used in *****,Not matched from Zotero
Research Objects,artifacts,Artifacts,Artifacts,Q8205328,56,,obj_Artefacts; obj_Object,obj_Artefacts; obj_Object,,*****
Research Objects,bibliographic_listings,Bibliographic Listings,BibliographicListings,Q1631107,57,,,obj_BibliographicListing,,act_Conceptualizing
Research Objects,computers,Computers,Computers,Q68,58,,,obj_Computers,X,act_Query/Retrieve
Research Objects,curricula,Curricula,Curricula,Q207137,59,,,obj_Curricula,,activity: Collect
Research Objects,digital_humanities,Digital Humanities,DigitalHumanities,Q1026962,61,,obj_DigitalHumanities; Object: Digital Humanities,obj_DigitalHumanities; Object: Digital Humanities,X,activity: Compare
Research Objects,data,Data,Data,Q42848,60,,obj_Data; Object: Data,obj_Data; Object: Data,X,AnalyzeQualitatively
Research Objects,file,File,File,Q82753,62,,,obj_File,X,AnalyzeStatistically
Research Objects,images,Images,Images,Q478798,63,,obj_Images,obj_Images,X,Aristoteles
Research Objects,images_3D,Images (3D),Images(3D),Q189177,64,,,obj_Images(3D),,bigdata
Research Objects,infrastructure,Infrastructure,Infrastructure,Q121359,65,,obj_Infrastructures; object: Infrastructure; Object: Infrastructures,obj_Infrastructures; object: Infrastructure; Object: Infrastructures,X,bigdata~
Research Objects,interaction,Interaction,Interaction,Q52948,66,,,obj_Interaction,,Erschließungsverfahren
Research Objects,language,Language,Language,Q315,67,,obj_Language; Object: Language,obj_Language; Object: Language,X,Facebook
Research Objects,link,Link,Link,Q102014,68,,,obj_Link,X,Google Inc.
Research Objects,literature,Literature,Literature,Q8242,69,,obj_Literature,obj_Literature,X,ISIN_US30303M1027
Research Objects,manuscript,Manuscript,Manuscript,Q87167,70,,obj_Manuscripts,obj_Manuscripts,,ISIN_US38259P5089
Research Objects,map,Map,Map,Q4006,71,,obj_Maps,obj_Maps,,meta_Advocating
Research Objects,metadata,Metadata,Metadata,Q180160,72,,obj_Metadata; Object: Metadata,obj_Metadata; Object: Metadata,X,meta_DefinePolicy
Research Objects,methods,Methods,Methods,Q2695280,73,,obj_Methods,obj_Methods,X,Narratology
